1615, 0, 1798|26, 8, 24|582, 153, 513|25, 28, 25|582, 153, 513|25, 28, 25|1
1615, 0, 1798|26, 8, 24|-5, 44, -389|35, 27, 11|-5, 44, -389|11, 27, 35|1
1615, 0, 1798|26, 8, 24|-168, 31, 213|25, 28, 25|-168, 31, 213|25, 28, 25|0
1615, 0, 1798|26, 8, 24|-459, 190, -235|19, 10, 15|-459, 190, -235|15, 10, 19|1
1615, 0, 1798|26, 8, 24|-260, 4, -663|10, 44, 9|-260, 4, -663|9, 44, 10|3
1615, 0, 1798|26, 8, 24|246, 140, 541|15, 10, 19|246, 140, 541|15, 10, 19|0
1615, 0, 1798|26, 8, 24|-768, 59, -686|23, 11, 25|-768, 59, -686|25, 11, 23|1
1615, 0, 1798|26, 8, 24|145, 27, 211|35, 27, 11|145, 27, 211|11, 27, 35|1
1615, 0, 1798|26, 8, 24|747, 52, 217|9, 5, 9|747, 52, 217|9, 5, 9|1
1615, 0, 1798|26, 8, 24|-453, 7, 67|9, 41, 9|-453, 7, 67|9, 41, 9|0
1615, 0, 1798|26, 8, 24|-848, 30, 520|25, 25, 25|-848, 30, 520|25, 25, 25|2
1615, 0, 1798|26, 8, 24|747, 13, -233|9, 41, 9|747, 13, -233|9, 41, 9|3
1615, 0, 1798|26, 8, 24|-459, 68, -535|15, 10, 19|-459, 68, -535|15, 10, 19|2
1615, 0, 1798|26, 8, 24|-318, 30, 513|25, 25, 25|-318, 30, 513|25, 25, 25|0
1615, 0, 1798|26, 8, 24|-753, 39, -83|9, 5, 9|-753, 39, -83|9, 5, 9|0
1615, 0, 1798|26, 8, 24|-468, 31, 663|25, 28, 25|-468, 31, 663|25, 28, 25|1
1615, 0, 1798|26, 8, 24|-153, 4, -83|10, 44, 9|-153, 4, -83|9, 44, 10|1
1615, 0, 1798|26, 8, 24|-768, 24, 213|25, 30, 25|-768, 24, 213|25, 30, 25|2
1615, 0, 1798|26, 8, 24|-753, 45, -383|9, 5, 9|-753, 45, -383|9, 5, 9|0
1615, 0, 1798|26, 8, 24|340, 30, -74|35, 27, 11|340, 30, -74|11, 27, 35|3
1733, 0, 911|8, 8, 8|582, 153, 513|25, 28, 25|582, 153, 513|25, 28, 25|1
1733, 0, 911|8, 8, 8|-5, 44, -389|35, 27, 11|-5, 44, -389|11, 27, 35|1
1733, 0, 911|8, 8, 8|-168, 31, 213|25, 28, 25|-168, 31, 213|25, 28, 25|0
1733, 0, 911|8, 8, 8|-459, 190, -235|19, 10, 15|-459, 190, -235|15, 10, 19|1
1733, 0, 911|8, 8, 8|-260, 4, -663|10, 44, 9|-260, 4, -663|9, 44, 10|3
1733, 0, 911|8, 8, 8|246, 140, 541|15, 10, 19|246, 140, 541|15, 10, 19|0
1733, 0, 911|8, 8, 8|-768, 59, -686|23, 11, 25|-768, 59, -686|25, 11, 23|1
1733, 0, 911|8, 8, 8|145, 27, 211|35, 27, 11|145, 27, 211|11, 27, 35|1
1733, 0, 911|8, 8, 8|747, 52, 217|9, 5, 9|747, 52, 217|9, 5, 9|1
1733, 0, 911|8, 8, 8|-453, 7, 67|9, 41, 9|-453, 7, 67|9, 41, 9|0
1733, 0, 911|8, 8, 8|-848, 30, 520|25, 25, 25|-848, 30, 520|25, 25, 25|2
1733, 0, 911|8, 8, 8|747, 13, -233|9, 41, 9|747, 13, -233|9, 41, 9|3
1733, 0, 911|8, 8, 8|-459, 68, -535|15, 10, 19|-459, 68, -535|15, 10, 19|2
1733, 0, 911|8, 8, 8|-318, 30, 513|25, 25, 25|-318, 30, 513|25, 25, 25|0
1733, 0, 911|8, 8, 8|-753, 39, -83|9, 5, 9|-753, 39, -83|9, 5, 9|0
1733, 0, 911|8, 8, 8|-468, 31, 663|25, 28, 25|-468, 31, 663|25, 28, 25|1
1733, 0, 911|8, 8, 8|-153, 4, -83|10, 44, 9|-153, 4, -83|9, 44, 10|1
1733, 0, 911|8, 8, 8|-768, 24, 213|25, 30, 25|-768, 24, 213|25, 30, 25|2
1733, 0, 911|8, 8, 8|-753, 45, -383|9, 5, 9|-753, 45, -383|9, 5, 9|0
1733, 0, 911|8, 8, 8|340, 30, -74|35, 27, 11|340, 30, -74|11, 27, 35|3
1733, 0, 911|8, 8, 8|591, 128, 774|26, 8, 24|591, 128, 774|26, 8, 24|0
220, 0, 1036|12, 12, 22|582, 153, 513|25, 28, 25|582, 153, 513|25, 28, 25|1
220, 0, 1036|12, 12, 22|-5, 44, -389|35, 27, 11|-5, 44, -389|11, 27, 35|1
220, 0, 1036|12, 12, 22|-168, 31, 213|25, 28, 25|-168, 31, 213|25, 28, 25|0
220, 0, 1036|12, 12, 22|-459, 190, -235|19, 10, 15|-459, 190, -235|15, 10, 19|1
220, 0, 1036|12, 12, 22|-260, 4, -663|10, 44, 9|-260, 4, -663|9, 44, 10|3
220, 0, 1036|12, 12, 22|246, 140, 541|15, 10, 19|246, 140, 541|15, 10, 19|0
220, 0, 1036|12, 12, 22|-768, 59, -686|23, 11, 25|-768, 59, -686|25, 11, 23|1
220, 0, 1036|12, 12, 22|145, 27, 211|35, 27, 11|145, 27, 211|11, 27, 35|1
220, 0, 1036|12, 12, 22|747, 52, 217|9, 5, 9|747, 52, 217|9, 5, 9|1
220, 0, 1036|12, 12, 22|-453, 7, 67|9, 41, 9|-453, 7, 67|9, 41, 9|0
220, 0, 1036|12, 12, 22|-848, 30, 520|25, 25, 25|-848, 30, 520|25, 25, 25|2
220, 0, 1036|12, 12, 22|747, 13, -233|9, 41, 9|747, 13, -233|9, 41, 9|3
220, 0, 1036|12, 12, 22|-459, 68, -535|15, 10, 19|-459, 68, -535|15, 10, 19|2
220, 0, 1036|12, 12, 22|-318, 30, 513|25, 25, 25|-318, 30, 513|25, 25, 25|0
220, 0, 1036|12, 12, 22|-753, 39, -83|9, 5, 9|-753, 39, -83|9, 5, 9|0
220, 0, 1036|12, 12, 22|-468, 31, 663|25, 28, 25|-468, 31, 663|25, 28, 25|1
220, 0, 1036|12, 12, 22|-153, 4, -83|10, 44, 9|-153, 4, -83|9, 44, 10|1
220, 0, 1036|12, 12, 22|-768, 24, 213|25, 30, 25|-768, 24, 213|25, 30, 25|2
220, 0, 1036|12, 12, 22|-753, 45, -383|9, 5, 9|-753, 45, -383|9, 5, 9|0
220, 0, 1036|12, 12, 22|340, 30, -74|35, 27, 11|340, 30, -74|11, 27, 35|3
220, 0, 1036|12, 12, 22|591, 128, 774|26, 8, 24|591, 128, 774|26, 8, 24|0
220, 0, 1036|12, 12, 22|709, 10, -113|8, 8, 8|709, 10, -113|8, 8, 8|0
1650, 0, 556|26, 8, 24|582, 153, 513|25, 28, 25|582, 153, 513|25, 28, 25|1
1650, 0, 556|26, 8, 24|-5, 44, -389|35, 27, 11|-5, 44, -389|11, 27, 35|1
1650, 0, 556|26, 8, 24|-168, 31, 213|25, 28, 25|-168, 31, 213|25, 28, 25|0
1650, 0, 556|26, 8, 24|-459, 190, -235|19, 10, 15|-459, 190, -235|15, 10, 19|1
1650, 0, 556|26, 8, 24|-260, 4, -663|10, 44, 9|-260, 4, -663|9, 44, 10|3
1650, 0, 556|26, 8, 24|246, 140, 541|15, 10, 19|246, 140, 541|15, 10, 19|0
1650, 0, 556|26, 8, 24|-768, 59, -686|23, 11, 25|-768, 59, -686|25, 11, 23|1
1650, 0, 556|26, 8, 24|145, 27, 211|35, 27, 11|145, 27, 211|11, 27, 35|1
1650, 0, 556|26, 8, 24|747, 52, 217|9, 5, 9|747, 52, 217|9, 5, 9|1
1650, 0, 556|26, 8, 24|-453, 7, 67|9, 41, 9|-453, 7, 67|9, 41, 9|0
1650, 0, 556|26, 8, 24|-848, 30, 520|25, 25, 25|-848, 30, 520|25, 25, 25|2
1650, 0, 556|26, 8, 24|747, 13, -233|9, 41, 9|747, 13, -233|9, 41, 9|3
1650, 0, 556|26, 8, 24|-459, 68, -535|15, 10, 19|-459, 68, -535|15, 10, 19|2
1650, 0, 556|26, 8, 24|-318, 30, 513|25, 25, 25|-318, 30, 513|25, 25, 25|0
1650, 0, 556|26, 8, 24|-753, 39, -83|9, 5, 9|-753, 39, -83|9, 5, 9|0
1650, 0, 556|26, 8, 24|-468, 31, 663|25, 28, 25|-468, 31, 663|25, 28, 25|1
1650, 0, 556|26, 8, 24|-153, 4, -83|10, 44, 9|-153, 4, -83|9, 44, 10|1
1650, 0, 556|26, 8, 24|-768, 24, 213|25, 30, 25|-768, 24, 213|25, 30, 25|2
1650, 0, 556|26, 8, 24|-753, 45, -383|9, 5, 9|-753, 45, -383|9, 5, 9|0
1650, 0, 556|26, 8, 24|340, 30, -74|35, 27, 11|340, 30, -74|11, 27, 35|3
1650, 0, 556|26, 8, 24|591, 128, 774|26, 8, 24|591, 128, 774|26, 8, 24|0
1650, 0, 556|26, 8, 24|709, 10, -113|8, 8, 8|709, 10, -113|8, 8, 8|0
1650, 0, 556|26, 8, 24|-804, 11, 12|12, 12, 22|-804, 11, 12|12, 12, 22|0
1228, 0, 842|8, 8, 8|582, 153, 513|25, 28, 25|582, 153, 513|25, 28, 25|1
1228, 0, 842|8, 8, 8|-5, 44, -389|35, 27, 11|-5, 44, -389|11, 27, 35|1
1228, 0, 842|8, 8, 8|-168, 31, 213|25, 28, 25|-168, 31, 213|25, 28, 25|0
1228, 0, 842|8, 8, 8|-459, 190, -235|19, 10, 15|-459, 190, -235|15, 10, 19|1
1228, 0, 842|8, 8, 8|-260, 4, -663|10, 44, 9|-260, 4, -663|9, 44, 10|3
1228, 0, 842|8, 8, 8|246, 140, 541|15, 10, 19|246, 140, 541|15, 10, 19|0
1228, 0, 842|8, 8, 8|-768, 59, -686|23, 11, 25|-768, 59, -686|25, 11, 23|1
1228, 0, 842|8, 8, 8|145, 27, 211|35, 27, 11|145, 27, 211|11, 27, 35|1
1228, 0, 842|8, 8, 8|747, 52, 217|9, 5, 9|747, 52, 217|9, 5, 9|1
1228, 0, 842|8, 8, 8|-453, 7, 67|9, 41, 9|-453, 7, 67|9, 41, 9|0
1228, 0, 842|8, 8, 8|-848, 30, 520|25, 25, 25|-848, 30, 520|25, 25, 25|2
1228, 0, 842|8, 8, 8|747, 13, -233|9, 41, 9|747, 13, -233|9, 41, 9|3
1228, 0, 842|8, 8, 8|-459, 68, -535|15, 10, 19|-459, 68, -535|15, 10, 19|2
1228, 0, 842|8, 8, 8|-318, 30, 513|25, 25, 25|-318, 30, 513|25, 25, 25|0
1228, 0, 842|8, 8, 8|-753, 39, -83|9, 5, 9|-753, 39, -83|9, 5, 9|0
1228, 0, 842|8, 8, 8|-468, 31, 663|25, 28, 25|-468, 31, 663|25, 28, 25|1
1228, 0, 842|8, 8, 8|-153, 4, -83|10, 44, 9|-153, 4, -83|9, 44, 10|1
