Key,english,french
leopard_entrance_01,Wilderness cavern,
leopard_entrance_02,Abandoned Mine Entrance,
leopard_entrance_03,Deep hole,
leopard_entrance_04,Mountain cave,
leopard_entrance_05,Zombie sound trap,
leopard_entrance_06,Wolf tavern,
leopard_entrance_07,Moe's last bedroom,
leopard_entrance_08,Opened hot spring,
leopard_entrance_09,leopard_entrance_09,
leopard_entrance_10,Eroded relief,
leopard_entrance_11,Wilderness well,
leopard_entrance_12,Flooded crater,
leopard_entrance_farm_01,Jericho Ranch,
leopard_entrance_gas_station_04,Pass-N-Gas Store #4,
leopard_filler_01,leopard_filler_01,
leopard_filler_02,leopard_filler_02,
leopard_filler_03,leopard_filler_03,
leopard_filler_04,leopard_filler_04,
leopard_filler_05,leopard_filler_05,
leopard_filler_06,leopard_filler_06,
leopard_filler_07,leopard_filler_07,
leopard_filler_08,leopard_filler_08,
leopard_filler_09,leopard_filler_09,
leopard_filler_10,leopard_filler_10,
leopard_filler_11,leopard_filler_11,
leopard_filler_12,leopard_filler_12,
leopard_filler_13,leopard_filler_13,
tonio_entrance_01,tonio_entrance_01,
tonio_entrance_02,tonio_entrance_02,
tonio_filler_01,tonio_filler_01,
tonio_filler_02,tonio_filler_02,
tonio_filler_03,tonio_filler_03,
tonio_filler_04,tonio_filler_04,
tonio_filler_05,tonio_filler_05,
tonio_filler_06,tonio_filler_06,
tonio_filler_07,tonio_filler_07,
tonio_filler_08,tonio_filler_08,
tonio_filler_09,tonio_filler_09,
tonio_filler_10,tonio_filler_10,
tonio_filler_11,tonio_filler_11,
tonio_filler_12,tonio_filler_12,
tonio_filler_13,tonio_filler_13,
tonio_filler_14,tonio_filler_14,
tonio_filler_15,tonio_filler_15,
tonio_filler_16,tonio_filler_16,
tonio_filler_17,tonio_filler_17,
tonio_filler_18,tonio_filler_18,
tonio_filler_19,tonio_filler_19,
tonio_filler_20,tonio_filler_20,
tonio_filler_21,tonio_filler_21,
tonio_filler_22,tonio_filler_22,
tonio_filler_23,tonio_filler_23,
tonio_filler_24,tonio_filler_24,
xuiCaveNetworksDesc,The amount of cave networks generated. Set None to disable cave generation,La quantité de réseaux de grottes à générer. Mettre aucun pour désactiver la génération de grottes
xuiCaveNetworks,Caves,Grottes
xuiCaveEntrancesDesc,The amount of wilderness cave entrances to spawn,La quantité d'entrées de grottes sauvages à faire apparaitre
xuiCaveEntrances,Cave entrances,Entrées de grottes
xuiCaveWaterDesc,The amount of water generated in cave tunnels,La quantité d'eau qui sera générée dans les tunnels de grotte
xuiCaveWater,Cave water,Humidité des grottes
xuiCavePreviewDesc,Switch between vanilla preview and cave preview,Affiche l'aperçu du jeu de base ou l'aperçu des grottes
xuiCavePreview,Preview type,Type d'aperçu
xuiTerrainOffsetDesc,increase vanilla terrain height,Augmente la profondeur de base du terrain
xuiTerrainOffset,Terrain offset,Décalage du terrain
crystalCollection,Rare Gems collection,Collection de pierre précieuses
crystal01,Rubis,Rubis
crystal02,Amethyst,Améthyste
crystal03,Amber,Ambre
crystal04,Emerald,Emeraude
crystal05,Spahir,Saphir
rawCrystal01,Raw Rubis,Rubis brut
rawCrystal02,Raw Amethyst,Améthyste brut
rawCrystal03,Raw Amber,Ambre brut
rawCrystal04,Raw Emerald,Emeraude brut
rawCrystal05,Raw Spahir,Saphir brut
nugget01,Rubis nugget,Minerais de Rubis
nugget02,Amethyst nugget,Minerais d'Améthyste
nugget03,Amber nugget,Minerais d'Ambre
nugget04,Emerald nugget,Minerais d'Emeraude
nugget05,Spahir nugget,Minerais de Saphir
the_caver_guide,The Caver's Guide,Le guide du spéléologue
